epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.7491,1.77518,3.43666,1.23716,0.01657,0.93801,0.04387,0.01698,1.49382,3.45721,1.11399,0.00016,0.00016,0.00016
2,145.08,1.61147,1.90923,1.09892,0.01767,1,0.83474,0.30928,1.11085,3.11668,0.97129,0.000333268,0.000333268,0.000333268
3,224.826,1.33653,1.44731,1.02612,0.01638,0.92722,0.21399,0.08284,1.22861,3.17478,1.05546,0.000499408,0.000499408,0.000499408
4,278.545,1.22491,1.20791,1.0063,0.01767,1,0.08588,0.04798,1.03792,2.88893,0.96449,0.00065842,0.00065842,0.00065842
5,332.677,1.24695,1.11906,1.04258,0.01748,0.98922,0.271,0.1315,1.31433,2.88312,1.07019,0.000810304,0.000810304,0.000810304
6,386.355,1.194,1.06937,1.03632,0.01767,1,0.53168,0.33724,0.93187,2.6991,0.93556,0.00095506,0.00095506,0.00095506
7,440.09,1.14458,1.03584,1.00637,0.78315,0.55485,0.66417,0.43443,1.00172,2.5459,0.96271,0.00109269,0.00109269,0.00109269
8,499.449,1.13256,0.99344,0.98122,0.94886,0.35007,0.91603,0.67755,0.84111,2.10542,0.89539,0.00122319,0.00122319,0.00122319
